Order ID,Date,Company Name,Category,Product Name,Warehouse Location,Forecast Demand (Units),Actual Demand (Units),Stock On Hand,Unit Price (₹)
ORD-10046,2022-01-09,Reliance Trends,Formal Wear,Pencil Skirt,Delhi,239,195,66,4938
ORD-10047,2022-01-09,Fabindia,Western Wear,Jumpsuit,Bengaluru,323,387,89,4281
ORD-10048,2022-01-09,Max Fashion,Western Wear,Jumpsuit,Mumbai,300,303,429,4057
ORD-10049,2022-01-09,Raymond,Formal Wear,Business Dress,Delhi,338,334,288,5954
ORD-10050,2022-01-10,Myntra,Casual Wear,Polo Shirt,Mumbai,375,379,582,1740
ORD-10051,2022-01-10,Raymond,Casual Wear,Hoodie,Delhi,159,153,309,1267
ORD-10052,2022-01-10,W for Woman,Casual Wear,Hoodie,Pune,362,413,544,1545
ORD-10053,2022-01-10,Raymond,Casual Wear,Joggers,Pune,150,176,171,731
ORD-10054,2022-01-10,Raymond,Sportswear,Running Shorts,Mumbai,162,153,55,780
ORD-10055,2022-01-10,W for Woman,Ethnic Wear,Lehenga,Kolkata,120,126,443,4082
ORD-10056,2022-01-10,Biba,Sportswear,Track Suit,Ahmedabad,304,229,580,1656
ORD-10057,2022-01-10,Biba,Western Wear,Jumpsuit,Mumbai,264,229,50,1555
ORD-10058,2022-01-10,Reliance Trends,Formal Wear,Business Dress,Hyderabad,381,419,142,4351
ORD-10059,2022-01-10,Reliance Trends,Casual Wear,Polo Shirt,Hyderabad,312,379,54,1233
ORD-10060,2022-01-10,Max Fashion,Sportswear,Track Suit,Chennai,254,310,575,2021
ORD-10061,2022-01-10,Reliance Trends,Formal Wear,Business Dress,Ahmedabad,270,332,519,5448
ORD-10062,2022-01-11,Pantaloons,Casual Wear,T-Shirt,Hyderabad,197,226,472,1497
ORD-10063,2022-01-11,Manyavar,Casual Wear,Polo Shirt,Delhi,284,308,400,765
ORD-10064,2022-01-12,Reliance Trends,Casual Wear,Polo Shirt,Chennai,173,211,244,808
ORD-10065,2022-01-12,W for Woman,Western Wear,Trench Coat,Hyderabad,183,213,414,4390
ORD-10066,2022-01-12,Reliance Trends,Ethnic Wear,Kurta,Mumbai,357,438,543,3840
ORD-10067,2022-01-12,Westside,Sportswear,Yoga Pants,Bengaluru,341,303,277,1579
ORD-10068,2022-01-12,Max Fashion,Sportswear,Track Suit,Kolkata,281,331,228,1246
ORD-10069,2022-01-13,W for Woman,Ethnic Wear,Saree,Pune,377,301,420,2927
ORD-10070,2022-01-13,Reliance Trends,Casual Wear,Hoodie,Kolkata,267,224,484,1162
ORD-10071,2022-01-13,Westside,Formal Wear,Suit,Bengaluru,423,439,284,3431
ORD-10072,2022-01-13,W for Woman,Formal Wear,Business Dress,Bengaluru,193,145,481,5735
ORD-10073,2022-01-13,Manyavar,Casual Wear,Hoodie,Chennai,367,432,98,734
ORD-10074,2022-01-13,Fabindia,Casual Wear,Hoodie,Ahmedabad,251,220,418,440
ORD-10075,2022-01-13,W for Woman,Casual Wear,Joggers,Bengaluru,225,208,572,1315
ORD-10076,2022-01-13,Westside,Sportswear,Yoga Pants,Bengaluru,165,176,395,2338
ORD-10077,2022-01-13,Biba,Ethnic Wear,Saree,Kolkata,196,177,348,2991
ORD-10078,2022-01-13,Reliance Trends,Formal Wear,Suit,Ahmedabad,334,393,178,2155
ORD-10079,2022-01-14,Fabindia,Western Wear,Midi Dress,Delhi,112,136,534,1307
ORD-10080,2022-01-15,Manyavar,Ethnic Wear,Saree,Bengaluru,123,132,449,3334
ORD-10081,2022-01-15,Max Fashion,Western Wear,Blazer,Bengaluru,94,72,415,3150
ORD-10082,2022-01-15,Biba,Sportswear,Running Shorts,Bengaluru,382,400,495,1065
ORD-10083,2022-01-15,Manyavar,Ethnic Wear,Kurta,Kolkata,291,256,360,886
ORD-10084,2022-01-15,Max Fashion,Casual Wear,Hoodie,Mumbai,331,404,538,1281
ORD-10085,2022-01-15,Max Fashion,Western Wear,Denim Jeans,Kolkata,176,168,497,2223
ORD-10086,2022-01-16,Manyavar,Formal Wear,Trouser,Delhi,381,384,328,3702
ORD-10087,2022-01-16,Biba,Western Wear,Denim Jeans,Bengaluru,228,183,516,2314
ORD-10088,2022-01-16,Biba,Casual Wear,T-Shirt,Mumbai,353,268,154,656
ORD-10089,2022-01-16,Fabindia,Ethnic Wear,Salwar Kameez,Bengaluru,87,86,400,4242
ORD-10090,2022-01-17,Fabindia,Ethnic Wear,Lehenga,Bengaluru,108,95,451,1384
ORD-10091,2022-01-17,Myntra,Casual Wear,Hoodie,Delhi,207,195,503,468
ORD-10092,2022-01-17,W for Woman,Ethnic Wear,Sherwani,Ahmedabad,279,304,369,3446
ORD-10093,2022-01-17,Fabindia,Sportswear,Sports Bra,Chennai,326,348,253,831
ORD-10094,2022-01-17,Raymond,Western Wear,Midi Dress,Mumbai,165,189,172,4432
ORD-10095,2022-01-17,Reliance Trends,Sportswear,Running Shorts,Bengaluru,270,306,304,2155
ORD-10096,2022-01-17,Raymond,Ethnic Wear,Saree,Bengaluru,354,405,178,4796
ORD-10097,2022-01-17,Myntra,Formal Wear,Trouser,Pune,346,302,90,3914
ORD-10098,2022-01-18,Reliance Trends,Formal Wear,Trouser,Bengaluru,431,481,331,2769
ORD-10099,2022-01-18,Max Fashion,Casual Wear,Shorts,Kolkata,312,234,568,779
ORD-10100,2022-01-18,W for Woman,Casual Wear,Joggers,Kolkata,112,120,446,1799
ORD-10101,2022-01-18,Reliance Trends,Sportswear,Sports Tee,Chennai,245,233,379,689
ORD-10102,2022-01-18,Myntra,Western Wear,Blazer,Hyderabad,134,133,151,3538
ORD-10103,2022-01-19,Reliance Trends,Formal Wear,Pencil Skirt,Chennai,127,133,122,5525
ORD-10104,2022-01-19,Myntra,Ethnic Wear,Kurta,Kolkata,365,409,475,3823
ORD-10105,2022-01-20,Manyavar,Ethnic Wear,Saree,Delhi,190,233,149,1629
ORD-10106,2022-01-20,Max Fashion,Western Wear,Blazer,Hyderabad,371,394,233,4256
ORD-10107,2022-01-20,Fabindia,Formal Wear,Business Dress,Bengaluru,217,217,211,4159
ORD-10108,2022-01-20,Pantaloons,Casual Wear,Hoodie,Kolkata,391,340,269,1526
ORD-10109,2022-01-20,Pantaloons,Formal Wear,Business Dress,Mumbai,135,141,580,3960
ORD-10110,2022-01-20,Myntra,Western Wear,Trench Coat,Chennai,363,365,208,1354
ORD-10111,2022-01-20,Raymond,Western Wear,Trench Coat,Hyderabad,199,174,357,3536
ORD-10112,2022-01-21,Westside,Ethnic Wear,Lehenga,Bengaluru,329,382,147,3260
ORD-10113,2022-01-21,Raymond,Ethnic Wear,Lehenga,Pune,293,356,173,2657
ORD-10114,2022-01-21,Manyavar,Formal Wear,Formal Shirt,Mumbai,306,252,564,4718
ORD-10115,2022-01-21,Max Fashion,Sportswear,Sports Bra,Delhi,193,186,453,1574
ORD-10116,2022-01-21,Max Fashion,Sportswear,Track Suit,Pune,214,169,563,1584
ORD-10117,2022-01-21,Westside,Sportswear,Sports Tee,Pune,372,315,586,2190
ORD-10118,2022-01-21,Reliance Trends,Formal Wear,Suit,Delhi,178,171,406,1698
ORD-10119,2022-01-21,Raymond,Casual Wear,Polo Shirt,Ahmedabad,399,328,95,1165
ORD-10120,2022-01-22,Myntra,Ethnic Wear,Saree,Hyderabad,397,481,344,912
ORD-10121,2022-01-22,Raymond,Formal Wear,Formal Shirt,Hyderabad,413,422,314,1650
ORD-10122,2022-01-22,Myntra,Sportswear,Sports Bra,Chennai,167,130,255,736
ORD-10123,2022-01-22,Raymond,Formal Wear,Suit,Delhi,105,125,445,2315
ORD-10124,2022-01-23,Reliance Trends,Casual Wear,Hoodie,Delhi,175,148,518,906
ORD-10125,2022-01-23,Pantaloons,Casual Wear,Hoodie,Bengaluru,89,82,410,1019
ORD-10126,2022-01-23,Manyavar,Casual Wear,T-Shirt,Pune,95,116,336,1099
ORD-10127,2022-01-23,Pantaloons,Western Wear,Denim Jeans,Hyderabad,293,254,206,2479
ORD-10128,2022-01-23,W for Woman,Sportswear,Sports Tee,Bengaluru,377,384,257,1480
ORD-10129,2022-01-24,Biba,Western Wear,Jumpsuit,Kolkata,114,117,171,2500
ORD-10130,2022-01-24,Pantaloons,Casual Wear,Hoodie,Chennai,306,343,330,784
ORD-10131,2022-01-24,Reliance Trends,Western Wear,Denim Jeans,Chennai,390,403,286,2145
ORD-10132,2022-01-25,Max Fashion,Formal Wear,Trouser,Ahmedabad,313,295,535,3353
ORD-10133,2022-01-25,Manyavar,Formal Wear,Formal Shirt,Pune,255,317,259,5513
ORD-10134,2022-01-26,W for Woman,Casual Wear,Hoodie,Pune,287,326,439,1652
ORD-10135,2022-01-26,Fabindia,Ethnic Wear,Sherwani,Ahmedabad,313,364,93,2812
ORD-10136,2022-01-26,Pantaloons,Ethnic Wear,Sherwani,Mumbai,177,158,457,3294
ORD-10137,2022-01-26,Reliance Trends,Formal Wear,Suit,Mumbai,471,462,512,2427
ORD-10138,2022-01-26,Biba,Sportswear,Sports Bra,Pune,291,265,75,2407
ORD-10139,2022-01-27,Manyavar,Formal Wear,Formal Shirt,Kolkata,214,173,166,2198
ORD-10140,2022-01-27,Reliance Trends,Formal Wear,Pencil Skirt,Bengaluru,345,266,224,2729
ORD-10141,2022-01-27,Myntra,Western Wear,Blazer,Pune,237,214,506,3765
ORD-10142,2022-01-27,Myntra,Western Wear,Blazer,Chennai,86,84,560,3690
ORD-10143,2022-01-27,Westside,Sportswear,Running Shorts,Pune,306,241,56,700
ORD-10144,2022-01-27,Myntra,Western Wear,Blazer,Kolkata,98,80,83,2556
ORD-10145,2022-01-27,Biba,Formal Wear,Trouser,Chennai,508,558,231,4450
ORD-10146,2022-01-27,Raymond,Ethnic Wear,Lehenga,Kolkata,274,317,487,1331
ORD-10147,2022-01-27,Max Fashion,Casual Wear,Shorts,Pune,348,297,264,1570
ORD-10148,2022-01-27,Manyavar,Formal Wear,Pencil Skirt,Pune,529,465,412,5566
ORD-10149,2022-01-28,Biba,Formal Wear,Business Dress,Hyderabad,317,238,74,3198
ORD-10150,2022-01-28,Pantaloons,Sportswear,Running Shorts,Mumbai,250,231,267,1121
ORD-10151,2022-01-28,Manyavar,Ethnic Wear,Lehenga,Kolkata,83,66,391,3596
ORD-10152,2022-01-28,Raymond,Western Wear,Blazer,Kolkata,325,392,86,3172
ORD-10153,2022-01-28,Westside,Sportswear,Yoga Pants,Pune,108,126,356,1026
ORD-10154,2022-01-28,Raymond,Sportswear,Yoga Pants,Delhi,156,138,81,2325
ORD-10155,2022-01-28,Reliance Trends,Western Wear,Jumpsuit,Pune,175,183,365,4107
ORD-10156,2022-01-29,W for Woman,Ethnic Wear,Kurta,Kolkata,311,362,359,2570
ORD-10157,2022-01-29,W for Woman,Casual Wear,T-Shirt,Delhi,307,307,544,789
ORD-10158,2022-01-29,Manyavar,Formal Wear,Pencil Skirt,Kolkata,203,162,578,5263
ORD-10159,2022-01-29,Myntra,Sportswear,Track Suit,Chennai,102,111,139,1666
ORD-10160,2022-01-30,Reliance Trends,Casual Wear,T-Shirt,Chennai,187,170,247,1490
ORD-10161,2022-01-30,Manyavar,Formal Wear,Formal Shirt,Bengaluru,189,143,576,4369
ORD-10162,2022-01-30,Biba,Casual Wear,Shorts,Chennai,373,325,122,1093
ORD-10163,2022-01-30,Myntra,Ethnic Wear,Salwar Kameez,Ahmedabad,105,84,105,1505
ORD-10164,2022-01-30,Westside,Sportswear,Sports Bra,Kolkata,239,218,252,790
ORD-10165,2022-01-30,Westside,Formal Wear,Formal Shirt,Chennai,394,482,197,3002
ORD-10166,2022-01-30,Westside,Casual Wear,Shorts,Ahmedabad,95,74,165,1344
ORD-10167,2022-01-30,Reliance Trends,Casual Wear,Joggers,Bengaluru,340,272,159,1730
ORD-10168,2022-01-30,Westside,Casual Wear,Joggers,Pune,382,365,299,1186
ORD-10169,2022-01-31,Pantaloons,Western Wear,Jumpsuit,Pune,370,423,291,3914
ORD-10170,2022-01-31,Fabindia,Sportswear,Running Shorts,Ahmedabad,246,252,505,1825
ORD-10171,2022-01-31,Pantaloons,Ethnic Wear,Sherwani,Kolkata,333,357,112,1541
ORD-10172,2022-01-31,Westside,Western Wear,Blazer,Chennai,279,295,507,2042
ORD-10173,2022-01-31,Pantaloons,Sportswear,Yoga Pants,Kolkata,125,130,572,1356
ORD-10174,2022-02-01,Myntra,Sportswear,Track Suit,Kolkata,136,160,81,1880
ORD-10175,2022-02-01,Pantaloons,Casual Wear,Hoodie,Pune,302,308,227,785
ORD-10176,2022-02-01,Biba,Casual Wear,Hoodie,Chennai,144,117,123,1396
ORD-10177,2022-02-01,Pantaloons,Ethnic Wear,Salwar Kameez,Ahmedabad,389,472,234,4522
ORD-10178,2022-02-01,Biba,Casual Wear,Polo Shirt,Pune,389,293,560,1427
ORD-10179,2022-02-01,Raymond,Sportswear,Sports Bra,Mumbai,99,102,427,890
ORD-10180,2022-02-01,Westside,Sportswear,Yoga Pants,Delhi,347,414,140,2000
ORD-10181,2022-02-01,Manyavar,Sportswear,Sports Bra,Mumbai,255,259,61,1775
ORD-10182,2022-02-01,Raymond,Casual Wear,Hoodie,Chennai,228,190,361,1688
ORD-10183,2022-02-02,Myntra,Western Wear,Jumpsuit,Chennai,399,304,546,1719
ORD-10184,2022-02-02,Biba,Casual Wear,Shorts,Chennai,220,259,64,757
ORD-10185,2022-02-02,Biba,Formal Wear,Suit,Chennai,249,286,83,2762
ORD-10186,2022-02-02,Pantaloons,Formal Wear,Business Dress,Hyderabad,401,334,403,2450
ORD-10187,2022-02-02,Pantaloons,Western Wear,Midi Dress,Ahmedabad,234,231,595,2755
ORD-10188,2022-02-02,Max Fashion,Casual Wear,Polo Shirt,Pune,86,76,509,1046
ORD-10189,2022-02-02,Max Fashion,Ethnic Wear,Saree,Kolkata,301,317,329,3544
ORD-10190,2022-02-03,Westside,Sportswear,Running Shorts,Hyderabad,381,432,582,1721
ORD-10191,2022-02-03,Fabindia,Ethnic Wear,Saree,Mumbai,290,231,156,4453
ORD-10192,2022-02-03,Myntra,Western Wear,Denim Jeans,Delhi,109,132,272,4100
ORD-10193,2022-02-03,Pantaloons,Sportswear,Sports Tee,Bengaluru,136,149,309,1908
ORD-10194,2022-02-03,Pantaloons,Formal Wear,Suit,Kolkata,242,190,113,1992
ORD-10195,2022-02-03,Westside,Casual Wear,Polo Shirt,Delhi,331,410,255,1721
ORD-10196,2022-02-03,Pantaloons,Western Wear,Jumpsuit,Hyderabad,394,422,502,1623
ORD-10197,2022-02-03,Westside,Sportswear,Yoga Pants,Mumbai,334,275,50,910
ORD-10198,2022-02-04,Reliance Trends,Casual Wear,Hoodie,Mumbai,343,378,552,1227
ORD-10199,2022-02-04,Pantaloons,Western Wear,Denim Jeans,Ahmedabad,142,146,417,3992
ORD-10200,2022-02-04,Max Fashion,Ethnic Wear,Lehenga,Kolkata,121,141,346,2463
ORD-10201,2022-02-04,Pantaloons,Western Wear,Trench Coat,Delhi,263,261,498,1773
ORD-10202,2022-02-05,Westside,Sportswear,Sports Tee,Pune,112,128,365,675
ORD-10203,2022-02-05,Raymond,Casual Wear,T-Shirt,Mumbai,287,232,585,1498
ORD-10204,2022-02-05,Fabindia,Sportswear,Sports Tee,Mumbai,152,151,69,2036
ORD-10205,2022-02-06,Biba,Western Wear,Denim Jeans,Mumbai,237,275,149,3703
ORD-10206,2022-02-06,Westside,Ethnic Wear,Saree,Hyderabad,112,129,486,3563
ORD-10207,2022-02-06,Max Fashion,Ethnic Wear,Sherwani,Bengaluru,244,285,268,1173
ORD-10208,2022-02-06,Biba,Ethnic Wear,Lehenga,Pune,166,182,218,4393
ORD-10209,2022-02-07,Pantaloons,Ethnic Wear,Sherwani,Bengaluru,88,104,132,852
ORD-10210,2022-02-07,Pantaloons,Sportswear,Yoga Pants,Ahmedabad,144,122,327,1850
ORD-10211,2022-02-07,Biba,Ethnic Wear,Sherwani,Ahmedabad,393,481,358,3649
ORD-10212,2022-02-07,Fabindia,Ethnic Wear,Sherwani,Kolkata,356,357,525,2504
ORD-10213,2022-02-07,Westside,Western Wear,Midi Dress,Bengaluru,161,174,94,3841
ORD-10214,2022-02-07,Raymond,Formal Wear,Suit,Ahmedabad,115,89,600,5473
ORD-10215,2022-02-08,W for Woman,Ethnic Wear,Saree,Ahmedabad,383,398,479,2428
ORD-10216,2022-02-08,W for Woman,Ethnic Wear,Lehenga,Delhi,201,224,254,3876
ORD-10217,2022-02-08,Pantaloons,Formal Wear,Formal Shirt,Bengaluru,261,255,446,3090
ORD-10218,2022-02-08,W for Woman,Casual Wear,Shorts,Kolkata,145,111,111,627
ORD-10219,2022-02-08,Raymond,Formal Wear,Trouser,Hyderabad,295,337,224,5774
ORD-10220,2022-02-08,Westside,Western Wear,Jumpsuit,Ahmedabad,222,168,488,2215
ORD-10221,2022-02-08,Biba,Western Wear,Jumpsuit,Mumbai,293,363,91,4204
ORD-10222,2022-02-08,Westside,Sportswear,Running Shorts,Delhi,311,310,135,871
ORD-10223,2022-02-08,W for Woman,Casual Wear,Shorts,Delhi,88,87,362,1340
ORD-10224,2022-02-09,Pantaloons,Formal Wear,Trouser,Bengaluru,346,381,51,5849
ORD-10225,2022-02-09,Manyavar,Casual Wear,Hoodie,Hyderabad,121,128,393,1781
ORD-10226,2022-02-09,Pantaloons,Ethnic Wear,Saree,Kolkata,318,336,424,3801
ORD-10227,2022-02-09,Raymond,Western Wear,Blazer,Hyderabad,356,287,539,4284
ORD-10228,2022-02-09,Pantaloons,Casual Wear,Joggers,Chennai,107,83,403,1426
ORD-10229,2022-02-10,Max Fashion,Ethnic Wear,Kurta,Chennai,311,329,117,2342
ORD-10230,2022-02-10,Fabindia,Western Wear,Trench Coat,Delhi,164,145,201,1816
ORD-10231,2022-02-10,Pantaloons,Ethnic Wear,Lehenga,Bengaluru,322,297,504,975
ORD-10232,2022-02-10,Raymond,Western Wear,Jumpsuit,Pune,376,346,384,3630
ORD-10233,2022-02-10,Westside,Sportswear,Running Shorts,Chennai,370,301,363,1591
ORD-10234,2022-02-10,Myntra,Casual Wear,Shorts,Bengaluru,260,231,220,1496
ORD-10235,2022-02-10,Biba,Western Wear,Blazer,Hyderabad,139,107,374,3005
ORD-10236,2022-02-10,Myntra,Western Wear,Jumpsuit,Kolkata,256,210,509,3385
ORD-10237,2022-02-10,Westside,Ethnic Wear,Kurta,Bengaluru,314,381,209,835
ORD-10238,2022-02-11,Manyavar,Casual Wear,Hoodie,Bengaluru,369,411,502,630
ORD-10239,2022-02-11,Max Fashion,Ethnic Wear,Salwar Kameez,Delhi,237,180,275,4453
ORD-10240,2022-02-11,Reliance Trends,Sportswear,Sports Tee,Hyderabad,222,188,135,1648
ORD-10241,2022-02-11,Westside,Formal Wear,Trouser,Kolkata,497,607,419,4528
ORD-10242,2022-02-12,Manyavar,Casual Wear,T-Shirt,Kolkata,259,234,506,1309
ORD-10243,2022-02-12,Biba,Formal Wear,Suit,Pune,333,347,138,5388
ORD-10244,2022-02-12,Fabindia,Sportswear,Yoga Pants,Pune,125,94,329,2054
ORD-10245,2022-02-12,W for Woman,Sportswear,Sports Tee,Bengaluru,275,246,552,1611
ORD-10246,2022-02-12,W for Woman,Sportswear,Running Shorts,Mumbai,81,66,357,1454
ORD-10247,2022-02-12,W for Woman,Western Wear,Midi Dress,Mumbai,141,159,554,3653
ORD-10248,2022-02-13,Westside,Formal Wear,Suit,Delhi,339,351,315,2697
ORD-10249,2022-02-13,Raymond,Formal Wear,Trouser,Bengaluru,126,120,414,5838
ORD-10250,2022-02-13,W for Woman,Ethnic Wear,Sherwani,Bengaluru,128,134,221,3442
ORD-10251,2022-02-13,Max Fashion,Casual Wear,T-Shirt,Kolkata,153,115,580,1393
ORD-10252,2022-02-13,W for Woman,Western Wear,Denim Jeans,Bengaluru,337,290,242,2909
ORD-10253,2022-02-13,Westside,Western Wear,Denim Jeans,Kolkata,239,261,192,3647
ORD-10254,2022-02-14,Fabindia,Casual Wear,T-Shirt,Hyderabad,145,170,195,656
ORD-10255,2022-02-14,Fabindia,Ethnic Wear,Kurta,Delhi,89,101,491,1148
ORD-10256,2022-02-14,Myntra,Sportswear,Sports Bra,Ahmedabad,140,168,94,2145
ORD-10257,2022-02-14,Reliance Trends,Ethnic Wear,Saree,Hyderabad,380,456,239,3679
ORD-10258,2022-02-14,Raymond,Casual Wear,Joggers,Kolkata,162,190,297,539
ORD-10259,2022-02-14,Max Fashion,Sportswear,Track Suit,Hyderabad,178,219,225,2485
ORD-10260,2022-02-14,Raymond,Sportswear,Running Shorts,Bengaluru,305,331,159,1038
ORD-10261,2022-02-15,Pantaloons,Sportswear,Sports Tee,Delhi,240,194,162,1741
ORD-10262,2022-02-15,Raymond,Ethnic Wear,Saree,Ahmedabad,139,130,517,3355
ORD-10263,2022-02-15,Pantaloons,Formal Wear,Suit,Hyderabad,157,180,426,5527
ORD-10264,2022-02-15,Westside,Ethnic Wear,Kurta,Delhi,141,115,460,1633
ORD-10265,2022-02-15,W for Woman,Western Wear,Trench Coat,Pune,142,123,484,2340
ORD-10266,2022-02-15,Westside,Formal Wear,Suit,Pune,411,338,515,5508
ORD-10267,2022-02-15,Myntra,Western Wear,Blazer,Delhi,107,124,560,1933
ORD-10268,2022-02-15,Reliance Trends,Casual Wear,Joggers,Delhi,119,128,582,1354
ORD-10269,2022-02-16,Max Fashion,Formal Wear,Business Dress,Chennai,429,506,68,4642
ORD-10270,2022-02-16,Westside,Casual Wear,Hoodie,Ahmedabad,98,75,360,1282
ORD-10271,2022-02-16,Fabindia,Formal Wear,Business Dress,Ahmedabad,473,490,537,4706
ORD-10272,2022-02-16,Pantaloons,Formal Wear,Pencil Skirt,Kolkata,269,205,96,1720
ORD-10273,2022-02-16,Fabindia,Casual Wear,Hoodie,Pune,256,318,471,1754
ORD-10274,2022-02-16,Reliance Trends,Western Wear,Trench Coat,Delhi,113,133,167,1895
ORD-10275,2022-02-16,Pantaloons,Ethnic Wear,Kurta,Pune,216,164,530,982
ORD-10276,2022-02-16,Westside,Sportswear,Track Suit,Delhi,185,169,564,1344
ORD-10277,2022-02-16,Westside,Formal Wear,Trouser,Delhi,412,363,354,2253
ORD-10278,2022-02-16,Reliance Trends,Sportswear,Track Suit,Kolkata,219,171,593,2229
ORD-10279,2022-02-16,Max Fashion,Ethnic Wear,Lehenga,Chennai,301,325,370,2439
ORD-10280,2022-02-17,Max Fashion,Sportswear,Running Shorts,Bengaluru,89,94,578,1953
ORD-10281,2022-02-17,Max Fashion,Formal Wear,Suit,Pune,486,379,255,3469
ORD-10282,2022-02-17,Pantaloons,Casual Wear,Hoodie,Kolkata,112,119,472,1723
ORD-10283,2022-02-17,Pantaloons,Sportswear,Sports Tee,Hyderabad,138,113,78,1594
ORD-10284,2022-02-17,Pantaloons,Sportswear,Running Shorts,Mumbai,183,151,189,1919
ORD-10285,2022-02-17,Myntra,Ethnic Wear,Kurta,Mumbai,122,110,355,1320
ORD-10286,2022-02-17,Fabindia,Western Wear,Blazer,Delhi,347,375,587,3233
ORD-10287,2022-02-18,Raymond,Ethnic Wear,Lehenga,Pune,200,243,273,1981
ORD-10288,2022-02-18,Manyavar,Formal Wear,Business Dress,Mumbai,417,458,165,5390
